,key,cnt
161,\艾露露/\艾露露/\艾露露/\艾露露/,210
435,\露酱/\超甜/\露酱/\超甜/\露酱/,49
61,2333,44
231,\266/\266/\266/\266/,36
29,拿来吧你,32
204,\露儿露/\露儿露/\露儿露/\露儿露/,31
515,,30
36,七夕不孤单,29
35,打扰了,22
56,好耶,17
140,牛牛牛,17
126,草,16
826,拜拜,15
57,？？？,15
48,？,14
118,【可爱】,14
276,\元气/\露露/\元气/\露露/,14
165,\艾露露/\艾露露/\艾露露/\艾露露/\艾露露/,14
106,【狂】,13
75,【我爱你】,12
223,“可爱”,11
38,mua,11
166,妙啊,11
43,好,10
561,\露露/\露露/\露露/,10
68,【跳舞】,10
307,\露露/\天籁/\露露/\天籁/\露露/,10
1,打卡,9
290,\艾露露/\艾福根/\艾露露/\艾福根/,9
20,来了来了,8
372,老板大气,8
69,比心,7
519,【你可曾 看到红尘纷扰】,6
791,好好好,6
449,\艾露露∧艾露露∧艾露露∧艾露露/,6
49,哈哈哈,6
518,【一片片柳絮飘 飘过了 天之角】,6
411,笑死,5
589,因为我们总在一起】,5
588,【醒来时别忘记回信,5
514,【鸡犬相闻,5
516,黄发垂髫】,5
587,只要一些心电感应】,5
86,离谱,5
586,【喜欢是惬意的事情,5
585,结尾别忘记要署名】,5
584,【拆开后回封手写信,5
164,＼艾露露/＼艾露露/＼艾露露/＼艾露露/,4
351,泪目,4
640,我是一只猫~快乐的星猫~,4
344,好听,4
583,调和最新鲜的情绪】,4
194,可爱,4
582,【从世界另一端投递,4
163,\艾露露/\艾露露/\艾露露/\艾露露/\艾露露/\艾露露/,4
467,\全♡世♡界♡最♡可♡艾♡的♡露♡露/,4
105,“狂”,4
403,哈哈哈哈哈哈哈哈哈,4
521,【快跟桃花儿聊一聊】,3
362,惊了,3
364,十个月舰长,3
114,【膨胀】,3
160,有点东西,3
616,让人害羞却无法逃避,3
892,一会见,3
92,？？,3
525,【风也吹不倒,3
44,下午好,3
167,拉了,3
615,一如午后阳光的热情,3
15,好家伙,3
76,泪目了,3
520,【回来跟桃花儿聊一聊】,3
526,我的杨柳腰】,3
443,\艾露露/\艾抖露/\艾露露/,3
433,\艾露露/\露露/\艾露露/\露露/,3
654,“艾露露太可爱了”,3
614,喜欢你注视我的眼睛,3
613,不免大吃一惊,3
612,居然对你如此上心,3
611,让我当你的专属猫咪,3
609,学不会撒娇只会任性,3
743,1,3
608,真的靠近又怕被嫌弃,3
169,艾拉拉,3
617,只好眯起了眼睛,3
691,为什么会一下就被你的眼神打倒,2
302,たったひとつだけ ありがとう，,2
690,我本来是很冷漠的,2
688,但你出现 在我身边,2
334,"""可爱""",2
301,言いたい感情は 伝えたい正解は，,2
300,IIIになって 愛を繋いでいこう，,2
299,ほらIを嫌って またIIに戻って，,2
288,好きとかって 嫌いとかって，,2
289,何度だって愛を歌う君が，,2
291,戀しくって 嘘じゃない本當だよ，,2
292,また出會おう，,2
293,僕らIIを嫌って Iに戻って，,2
692,我原来是很聪明的,2
295,何回だって 間違ってきたよ，,2
604,我像一只猫,2
687,一起去环游世界也很难实现,2
686,也许想着未来的事情太遥远,2
168,防伪标识,2
726,【我很愉快】,2
316,「バカ」，,2
715,飞龙大气,2
224,【说好从今以后都牵着手】,2
262,还行吧,2
749,2,2
724,【请不要说我疯狂】,2
727,【泪流到天亮】,2
796,好耶！,2
728,【请不要说我妄想】,2
233,266,2
234,还行,2
236,还好,2
729,【不要说爱荒凉】,2
730,【病一场 怎样】,2
222,【给彼此岁月】,2
221,\熊妹妹/\熊妹妹/\熊妹妹/\熊妹妹/\熊妹妹/\熊妹妹/,2
220,【交换无名指金色的契约】,2
216,好听！,2
646,“太可爱”,2
208,\露露/\露露/\露露/\露露/,2
