,key,cnt
299,/,1706
298,\,1688
18,艾露露,1038
127,】,265
125,【,263
26,露露,191
20,的,165
65,266,148
779,露酱,147
57,？,138
30,，,128
1, ,127
378,露儿露,124
50,了,123
15,我,117
153,你,108
780,超甜,98
22,！,78
31,是,59
56,在,44
729,♡,43
190,可爱,43
343,~,41
92,吧,39
79,福根,38
96,好,37
117,2333,36
480,い,34
508,っ,33
522,て,33
62,拿来吧你,33
101,啊,33
192,去,32
108,也,31
183,“,30
78,七夕不孤单,29
184,”,29
45,来了,29
305,艾,28
107,好耶,28
479,元气,28
80,不,27
172,就,26
502,た,25
178,狂,24
102,哈哈哈,23
16,要,22
77,打扰了,22
827,∧,21
90,都,21
418,喜欢,20
12,･,20
81,mua,20
579,天籁,20
895,最,20
526,と,19
739,笑,19
51,吗,18
350,说,18
54,我爱你,18
252,牛牛牛,17
213,可以,17
484,を,17
491,に,17
1448,拜拜,17
42,啦,17
246,因为,16
131,这,16
300,＼,16
358,太,16
159,再,15
369,好听,15
86,还,15
497,な,15
1233,不要,15
410,妹妹,15
85,今天,14
376,很,14
197,有,13
189,爱,13
312,着,13
516,う,13
683,十个月,12
389,又,12
409,熊,12
1314,不行,12
1096,我们,12
520,だ,12
402,世界,11
3,ω,11
230,什么,11
896,可,11
60,七夕,11
375,走,11
124,对,11
657,草,11
287,让,11
514,ま,11
71,呀,11
515,し,11
301,妙啊,11
121,人,11
126,跳舞,11
1133,别忘记,10
1058,事情,10
149,那,10
1078,新鲜,10
138,泪目,10
523,こ,10
404,请,10
693,老板大气,10
647,露,10
61,快乐,10
496,か,10
852,只要,9
4,打卡,9
429,一下,9
161,和,9
173,跟,9
494,え,9
340,好好,9
69,单身,9
684,舰长,9
119,为什么,9
241,上次,9
704,老板,9
468,唱歌,8
826,情绪,8
150,不是,8
417,会,8
466,一个,8
1010,桃花,8
964,一起,8
481,の,8
1003,✋,8
486,被,8
529,愛,8
499,ら,8
503,よ,8
0,⁄,8
1425,加油,8
25,给,8
11,。,8
6,￣,8
221,想,7
1179,眼睛,7
530,歌,7
1028,聊一聊,7
1027,儿,7
531,が,7
91,没有,7
596,」,7
513,り,7
501,き,7
63,七夕节,7
245,还是,7
524,で,7
571,も,7
1164,猫,7
208,能,7
1074,惬意,7
256,多,7
1075,一些,7
1076,心电感应,7
403,所以,7
689,前夫,7
1077,调和,7
1084,投递,7
1163,一只,6
84,到,6
204,个,6
573,ん,6
595,「,6
251,捏,6
892,全,6
76,呢,6
361,变得,6
89,现在,6
94,新,6
498,君,6
1017,一片片,6
228,不会,6
527,嫌,6
1498,抢,6
510,は,6
338,还有,6
137,喝,6
136,无糖,6
381,同传,6
52,来,6
155,离谱,6
476,上,6
1018,柳絮,6
266,听,6
129,嗯,6
174,过,6
1024,红尘,6
1023,看到,6
1022,曾,6
1021,天之角,6
1020,飘过,6
1019,飘,6
1025,纷扰,6
128,比心,6
261,下,5
735,看,5
1421,好好好,5
771,｀,5
88,女朋友,5
740,真的,5
745,死,5
794,知道,5
1126,从,5
489,れ,5
1227,太可爱了,5
517,め,5
507,出會,5
506,僕,5
58,早,5
532,戀,5
533,く,5
536,ゃ,5
569,あ,5
315,联动,5
1182,阳光,5
707,学,5
1427,医院,5
495,る,5
363,一点点,5
655,_,5
284,一,5
367,金色,5
690,哥,5
691,大气,5
1127,另一端,5
1426,终于,5
97,下午,5
1012,黄发垂髫,5
1135,醒来时,5
1026,回来,5
1482,女人,5
990,里,5
1130,封手,5
1131,写信,5
1129,后回,5
1128,拆开,5
1137,总在,5
115,（,5
