,key,cnt
23,？,4967
58,了,1098
3,，,574
106,的,556
45,！,545
4,是,527
206,哈哈哈,491
157,。,480
92, ,353
5,你,347
70,啊,331
19,我,327
33,桃桃,300
190,草,299
133,吧,292
245,哈哈哈哈,275
433,/,258
432,\,237
47,小希,219
1,这,207
3390,请直播间珍惜主播,194
1930,把艾露露带走吧,180
256,《,167
259,》,167
285,吃,165
65,好,164
6,吗,160
4380,寻找真正的爱,155
950,艾露露,148
176,都,131
48,小桃,124
752,龟龟,117
135,有,116
30,在,108
54,不,108
53,（,108
309,哈哈,104
0,来了,102
130,还,94
31,什么,93
148,就,88
18,希爹,85
84,：,84
804,艹,83
286,…,83
343,很,82
492,她,82
202,好耶,80
60,要,79
104,）,78
797,露露,78
743,声音,77
763,嘉宾,77
409,不是,76
769,花花,73
523,小,71
280,人,70
32,开门,69
140,来,68
15,=,66
201,好家伙,66
962,福根,66
827,草草,66
483,~,64
41,也,63
341,一个,61
195,又,61
266,可以,61
118,没,60
369,就是,58
1654,急,58
86,晚上好,57
398,海王,56
131,看,55
193,开心,55
142,给,54
1257,做,54
16,・,54
115,说,53
385,永远,50
858,女,50
441,大,49
739,酱,48
52,老师,48
26,开始,47
128,七夕,47
349,孤寡,47
1186,松松,46
750,女人,46
192,怎么,46
34,、,45
2238,坏事,45
2682,保险,44
1053,爱,44
75,哦,44
277,把,44
345,起来,43
902,打,42
553,￣,42
194,呢,41
55,被,41
1316,怪,41
233,你们,41
2567,胡桃,40
180,谁,40
283,桃,40
141,老婆,39
188,上,39
358,和,37
2239,尽,37
203,蚌埠住了,37
237,太,37
126,啦,37
17,ω,36
138,呀,35
183,死,35
198,去,35
416,那,35
105,1,35
600,带,34
427,好听,33
117,真的,33
468,专业,33
238,喜欢,33
270,有点,32
610,确实,32
339,没有,32
1094,不愧,32
556,拜拜,31
538,男,31
2161,拱火,31
447,对,31
13,这么,31
67,这个,30
590,晚安,30
581,走,30
1163,套餐,29
2065,全都,29
3775,b站,28
1160,牛头人,28
1041,让,28
532,一,28
935,!,28
2096,用户,28
177,笑,28
4369,正,28
234,玩,28
1162,三人,27
1655,虾仁猪心,27
1166,渣,27
319,想,27
320,别,27
511,个,27
161,我们,27
3777,小梦,27
1075,灭灯,27
3776,搜,27
3774,Ь,27
3773,仙女,27
579,这样,26
28,测试,26
936,到,26
419,会,26
