,key,cnt
85,草,464
452,？？？,241
73,？,215
3643,请直播间珍惜主播,193
1764,把艾露露带走吧。,167
5032,寻找真正的爱,155
100,？？？？,128
505,？？？？？,107
132,哈哈哈哈,88
99,哈哈哈,86
903,？？？？？？,80
210,哈哈哈哈哈,73
95,好耶,58
122,哈哈哈哈哈哈哈,57
557,艹,47
119,啊这,46
30,晚上好,43
94,好家伙,41
79,?,40
764,哈哈哈哈哈哈,39
403,？？？？？？？,37
97,蚌埠住了,33
454,？？,31
66,。,29
894,？？？？？？？？,28
26,来了来了,27
43,1,25
2695,龟龟,25
391,？？？？？？？？？？？,24
263,\桃桃/\桃桃/\桃桃/,24
250,好听,23
1451,虾仁猪心,22
1260,？？？？？？？？？,22
1469,艾露露,21
384,晚安,21
368,拜拜,21
124,哈哈哈哈哈哈哈哈,20
254,好,20
754,哈哈,20
967,？？？？？？？？？？,19
0,来了,18
960,专业,17
194,泪目,17
1413,确实,16
16,打卡,16
690,.,14
4,(=・ω・=),14
11,开门,13
5066,寻找正真的爱,13
2679,龟龟。。。。寂しい龟龟。。。。寂しい,12
1990,gb,12
1675,太怪了,12
2019,《很开心》,12
1811,渣女,12
1686,哈哈哈哈哈哈哈哈哈,11
2271,反转了,11
1291,？？？？？？？？？？？？,11
2841,龟龟带我走吧,11
921,牛头人狂喜,11
274,\桃桃/\桃桃/\桃桃/\桃桃/\桃桃/,11
12,桃桃,11
911,老海王了,10
204,孤寡孤寡,10
1846,坏了,10
1545,离谱,10
1366,福瑞控是吧,10
115,绷不住了,10
2537,七夕三人套餐,10
258,好耶！,10
1108,牛蛙,9
1698,绝绝子,9
793,很有精神,9
1824,太屑了,9
895,屑,9
33,开门啊,9
1534,哈人,9
1932,急了急了,8
1955,她急了,8
2246,艾露露坏事做尽,8
1659,怪起来了,8
2536,全都要,8
1679,不愧是你,8
365,一会见,8
86,笑死,8
5174,花花haya,8
3300,好怪哦,8
380,阿这,8
167,(｀・ω・´),8
802,吃我一拳,8
4227,看仙女的Ь~b站搜用户：小梦mu,8
2251,艾露露你坏事做尽,8
288,！,7
893,绝了,7
2141,杀人诛心,7
908,海王,7
364,88888,7
1296,？？？？？？？？？？？？？？？？？？？？,7
766,可惜不是你,7
2003,《开心》,7
218,哈哈哈哈哈哈哈哈哈哈,7
1228,小希,7
1867,错付了,7
4454,看仙女的Ь、b站搜用户：小梦mu,7
37,开门开门,7
752,hhh,7
1423,哈哈哈哈哈哈哈哈哈哈哈,7
901,???,7
62,。。。,6
4596,有了,6
256,\桃桃/\桃桃/\桃桃/\桃桃/,6
2877,龟龟我买保险,6
2350,小希坏事做尽,6
548,，,6
597,好好好,6
371,888888888,6
669,声音有点小,6
654,声音小,6
51,0.0,6
2828,嗯？,6
1513,英梨梨。,6
1771,把艾露露带走吧,6
1364,啊,6
4972,《纯爱》,6
606,花花,6
5370,正,6
213,孤寡,6
959,嘶,6
1977,送命题,6
4252,看仙女的Ь，b站搜用户：小梦mu,6
2588,哼,6
1655,？？？？？？？？？？？？？,6
2008,很开心,6
3741,们,5
110,公开处刑,5
1095,有点东西,5
1477,李逵,5
1236,awsl,5
1962,小希急了,5
3474,去势,5
169,2333,5
1981,修罗场了,5
348,88888888,5
1182,太强了,5
1481,张飞,5
5227,腿打折,5
199,好！,5
3052,吸溜,5
3594,绝杀,5
2905,啊？,5
2712,▽,5
2734,口区,5
111,太狠了,5
2127,你们都是我的翅膀,5
2069,2333333,5
1529,呕,5
1460,古尔丹,5
4385,好大,5
5,希爹,5
1465,dio,5
3816,萨日朗,5
407,?????,5
3098,\桃饱/\桃饱/\桃饱/\桃饱/,5
2742,全都要是吧,5
1538,好怪啊,5
786,yue,5
149,主吃人,5
38,ass we can,4
350,(･∀･),4
2595,恭喜恭喜,4
1546,离大谱,4
1362,……,4
2704,龟龟！,4
2989,草草草,4
1491,涂山苏苏,4
53,来啦,4
2174,吃瓜吃到自己身上,4
1589,杰哥,4
1331,不愧是福根,4
581,www,4
785,夹带私货,4
948,666,4
269,赚了,4
1808,????,4
2179,都怪艾露露,4
5349,888888,4
1328,bksn,4
828,嘟嘟,4
3488,不好说,4
3348,好家伙！,4
1183,woc,4
1508,俺也一样,4
5355,8888888,4
317,舰长风评被害,4
252,233,4
1503,缝合怪,4
1139,桃桃别吃了,4
3038,让她吃,4
1185,强,4
1155,桃老师别吃了,4
388,呜呜呜,4
386,草？,4
1250,草。,4
1611,刘华强,4
4600,现在有了,4
524,a,4
2420,高情商,4
2984,狗宝来了,4
2573,明明是三个人的电影,4
1023,好活,4
1482,郭德纲,4
2002,开心,4
3369,破案了,4
1729,麻了,4
374,阿哲,4
3911,猫屎咖啡,4
4990,玩挺大,4
1836,渣女！,4
1486,盾山,4
3544,时间管理大师,4
4557,沉默是今晚的康桥,4
1446,阿巴阿巴,4
65,来啦来啦,4
3515,致命问题,3
1463,戴夫,3
2263,两级反转,3
582,有,3
946,爱了爱了,3
2559,三人套餐,3
1351,物种,3
5181,真不熟,3
3848,233333,3
3115,???????,3
3518,嘶~,3
2076,突发恶疾,3
5187,丈育就这样,3
2617,hhhhhh,3
4668,《冠军》,3
2121,你们都是我的翅膀！,3
4219,看仙女的Ь`b站搜用户：小梦mu,3
1934,小希放手吧,3
1532,苏小安,3
4491,女人就是麻烦,3
1936,希希急了,3
2238,一转攻势,3
3259,不对劲,3
2316,梅开二度,3
516,声音好小,3
896,\MA酱/\MA酱/\MA酱/\MA酱/,3
1424,？？？？？？？？？？？？？？,3
4793,《赚了》,3
931,艹艹艹,3
1833,坏女人,3
905,屑！,3
1832,老渣女了,3
4681,看仙女的Ь-b站搜用户：小梦mu,3
1437,阿巴阿巴阿巴,3
2944,海龟,3
4693,233333333,3
15,(⌒▽⌒),3
1426,266,3
1484,逵逵,3
2553,我全都要,3
3249,M,3
362,888888888888,3
1683,逆大天,3
1915,牵手,3
5028,牛奶,3
1920,吃醋了,3
5154,老婆！,3
1810,23333,3
3628,什么虎狼之词,3
2532,恭喜,3
4566,国粹,3
1422,小心艾露露,3
2701,太草了,3
1813,逆天,3
2729,8888,3
943,卧槽！,3
942,\松松/\松松/\松松/\松松/,3
3163,痛风警告,3
2681,哈哈哈哈哈哈哈哈哈哈哈哈哈,3
776,酱酱酿酿,3
1818,牛头人,3
1505,迪奥,3
3835,牛,3
2718,m希,3
2555,三人行,3
4224,hso,3
2922,《一心一意》,3
4798,完 全 胜 利,3
4896,一起来,3
3586,细说,3
1973,土土土,3
60,偷偷吃口屎,3
3363,原来如此,3
984,23333333,3
2215,艾露露全责,3
4354,桃桃你说句话呀,3
655,没声音,3
4115,正确的,3
27,哦豁,3
220,孤寡孤寡孤寡,3
1969,修罗场,3
3062,让她吃！,3
2480,两极反转,3
5243,花花Haya,3
1026,！？,3
663,放送事故,3
2353,坏事做尽,3
2183,一颗小红果，妹妹爱上我,3
811,（￣▽￣）,3
1264,什么甲方,3
2000,答应他,3
2146,杀人诛心啊,3
4548,最怕空气突然安静,3
1275,哈哈哈哈哈哈哈。,3
2043,咬牙切齿,3
2999,雀氏,3
3649,请主播珍惜直播间,3
2833,追,3
3725,对味了,3
1605,怪,3
2925,啊这？,3
670,听不见,3
1719,艾露露吃我一拳,3
2137,小杜小桃channel,3
4533,张口就是国粹,3
1098,111,3
4351,桃桃你说句话啊,3
268,好听好听,3
1783,白起来了,3
2902,噗,3
57,qwq,3
4399,=。=,3
1953,他急了他急了,3
4743,额,3
2275,小希你坏事做尽,3
4744,专一打游戏,3
4410,性感气泡音,3
4792,完全胜利,3
5347,白白,3
5343,88,3
84,开门了,3
1203,多吃点多吃点,3
2974,完了,3
5234,打骨折,3
93,哈喽,3
1233,强啊,3
71,0-0,3
4148,还行吧,3
774,(｡･ω･｡)ﾉ♡,2
4275,又生了,2
3774,这………………,2
2419,虾仁猪心啊,2
519,yes we can,2
1234,牛牛牛,2
885,同事罢了,2
4386,好大一个,2
4705,王只能有一个,2
4708,王不见王,2
4409,性感,2
527,好好好好好,2
749,←◡←,2
6,希爹是我爹,2
530,相亲大作战,2
1410,唱踊！,2
3270,？？？？？？？？？？？？？？？？？？？,2
